#,Text,Gloss,NpyFilesRoot
58,Are there any symptoms that are getting worse?,SYMPTOMS WORSE GET ANY?,/SYMPTOMS WORSE GET ANY/*.npy
59,Are there any treatments you’re interested in learning about?,TREATMENTS LEARN ABOUT INTERESTED YOU?,/TREATMENTS LEARN ABOUT INTERESTED YOU/*.npy
60,Are there any upcoming trips that require vaccinations?,TRIP FUTURE VACCINATIONS NEED HAVE?,/TRIP FUTURE VACCINATIONS NEED HAVE/*.npy
61,Are there breathing exercises to help with my stress?,STRESS HELP BREATHING EXERCISE?,/STRESS HELP BREATHING EXERCISE/*.npy
62,Are there hobbies you have time for?,HOBBIES TIME HAVE YOU?,/HOBBIES TIME HAVE YOU/*.npy
63,are there side effects we need to monitor with this new medication?,NEW MEDICATION SIDE EFFECTS MONITOR NEED?,/NEW MEDICATION SIDE EFFECTS MONITOR NEED?/*.npy
64,Are there specific goals you’d like to achieve through physical therapy?,PHYSICAL THERAPY GOALS ACHIEVE WANT YOU?,/PHYSICAL THERAPY GOALS ACHIEVE WANT YOU/*.npy
65,Are there specific goals you'd like to discuss during this visit?,"VISIT THIS, GOALS SPECIFIC DISCUSS WANT?","/VISIT THIS, GOALS SPECIFIC DISCUSS WANT/*.npy"
66,Are there specific health goals you’d like to work toward?,HEALTH GOALS SPECIFIC WORK TOWARD WANT YOU?,/HEALTH GOALS SPECIFIC WORK TOWARD WANT YOU/*.npy
67,Are there specific outcomes you’d like to achieve with therapy?,THERAPY OUTCOMES SPECIFIC ACHIEVE WANT YOU?,/THERAPY OUTCOMES SPECIFIC ACHIEVE WANT YOU/*.npy
68,Are there specific quality-of-life improvements you’d like to prioritize?,QUALITY-OF-LIFE IMPROVE PRIORITIZE WANT YOU?,/QUALITY-OF-LIFE IMPROVE PRIORITIZE WANT YOU/*.npy
69,Are there specific signs of improvement I should look for?,"IMPROVEMENT SIGNS SPECIFIC, LOOK FOR WHAT?","/IMPROVEMENT SIGNS SPECIFIC, LOOK FOR WHAT?/*.npy"
70,Are there specific tasks you find challenging as a caregiver?,CAREGIVER TASKS CHALLENGING SPECIFIC HAVE YOU?,/CAREGIVER TASKS CHALLENGING SPECIFIC HAVE YOU/*.npy
71,are there support services available for family?,"SUPPORT SERVICES FAMILY, AVAILABLE ANY?","/SUPPORT SERVICES FAMILY, AVAILABLE ANY?/*.npy"
72,are these symptoms indicating something serious?,THESE SYMPTOMS SERIOUS INDICATE?,/THESE SYMPTOMS SERIOUS INDICATE?/*.npy
73,Are you able to enjoy hobbies?,HOBBIES ENJOY ABLE YOU?,/HOBBIES ENJOY ABLE YOU/*.npy
74,Are you able to find your prescribed medications?,PRESCRIBED MEDICATION FIND CAN YOU?,/PRESCRIBED MEDICATION FIND CAN YOU/*.npy
75,Are you able to maintain connections with friends or family?,CONNECTION FRIENDS FAMILY MAINTAIN ABLE YOU?,/CONNECTION FRIENDS FAMILY MAINTAIN ABLE YOU/*.npy
76,Are you able to maintain work-life balance?,WORK-LIFE BALANCE MAINTAIN ABLE YOU?,/WORK-LIFE BALANCE MAINTAIN ABLE YOU/*.npy
77,Are you able to manage daily life on your own?,DAILY LIFE MANAGE ALONE CAN YOU?,/DAILY LIFE MANAGE ALONE CAN YOU/*.npy
78,Are you able to manage your pain at home?,PAIN HOME MANAGE ABLE YOU?,/PAIN HOME MANAGE ABLE YOU/*.npy
79,Are you able to move around comfortably?,MOVE AROUND COMFORTABLE CAN YOU?,/MOVE AROUND COMFORTABLE CAN YOU/*.npy
80,Are you able to sleep through the night?,"NIGHT SLEEP THROUGH, CAN YOU?","/NIGHT SLEEP THROUGH, CAN YOU/*.npy"
81,Are you able to stay mobile after surgery?,SURGERY AFTER MOBILE STAY ABLE YOU?,/SURGERY AFTER MOBILE STAY ABLE YOU/*.npy
82,Are you attending all recommended therapy sessions?,THERAPY SESSIONS RECOMMEND ATTEND YOU?,/THERAPY SESSIONS RECOMMEND ATTEND YOU/*.npy
83,Are you attending all your scheduled physical therapy sessions?,PHYSICAL THERAPY SESSIONS SCHEDULED ATTEND YOU?,/PHYSICAL THERAPY SESSIONS SCHEDULED ATTEND YOU/*.npy
84,Are you attending regular follow-up appointments?,FOLLOW-UP APPOINTMENTS REGULAR ATTEND YOU?,/FOLLOW-UP APPOINTMENTS REGULAR ATTEND YOU/*.npy
85,Are you attending support groups?,SUPPORT GROUPS ATTEND YOU?,/SUPPORT GROUPS ATTEND YOU/*.npy
86,Are you attending your follow-up appointments?,FOLLOW-UP APPOINTMENTS ATTEND YOU?,/FOLLOW-UP APPOINTMENTS ATTEND YOU/*.npy
87,Are you attending your physical therapy sessions?,PHYSICAL THERAPY SESSIONS ATTEND YOU?,/PHYSICAL THERAPY SESSIONS ATTEND YOU/*.npy
88,Are you avoiding high-sodium food?,FOOD HIGH-SODIUM AVOID YOU?,/FOOD HIGH-SODIUM AVOID YOU/*.npy
89,Are you avoiding smoking and alcohol?,SMOKING ALCOHOL AVOID YOU?,/SMOKING ALCOHOL AVOID YOU/*.npy
90,Are you aware of any allergies to substances or medications?,ALLERGY MEDICATION OR SUBSTANCE ANY HAVE YOU?,/ALLERGY MEDICATION OR SUBSTANCE ANY HAVE YOU?/*.npy
91,Are you aware of any safety instructions to follow at home?,HOME SAFETY INSTRUCTIONS FOLLOW KNOW YOU?,/HOME SAFETY INSTRUCTIONS FOLLOW KNOW YOU/*.npy
92,Are you aware of apps that can help track your wellness?,APPS WELLNESS TRACK HELP KNOW YOU?,/APPS WELLNESS TRACK HELP KNOW YOU/*.npy
93,Are you aware of community support groups?,COMMUNITY SUPPORT GROUPS KNOW YOU?,/COMMUNITY SUPPORT GROUPS KNOW YOU/*.npy
94,Are you aware of how long the test results will take?,TEST RESULTS TAKE HOW LONG AWARE YOU?,/TEST RESULTS TAKE HOW LONG AWARE YOU/*.npy
95,Are you aware of how to recognize emergency symptoms?,EMERGENCY SYMPTOMS RECOGNIZE KNOW YOU?,/EMERGENCY SYMPTOMS RECOGNIZE KNOW YOU/*.npy
96,Are you aware of the balanced diet benefits?,BALANCED DIET BENEFITS AWARE YOU?,/BALANCED DIET BENEFITS AWARE YOU/*.npy
97,Are you aware of the benefits of a balanced diet?,BALANCED DIET BENEFITS AWARE YOU?,/BALANCED DIET BENEFITS AWARE YOU/*.npy
98,Are you aware of the benefits of maintaining a healthy weight?,HEALTHY WEIGHT BENEFITS AWARE YOU?,/HEALTHY WEIGHT BENEFITS AWARE YOU/*.npy
99,Are you aware of the benefits of meditation?,MEDITATION BENEFITS AWARE YOU?,/MEDITATION BENEFITS AWARE YOU/*.npy
100,Are you aware of the benefits of stretching?,STRETCHING BENEFITS AWARE YOU?,/STRETCHING BENEFITS AWARE YOU/*.npy
101,Are you aware of the healthy weight benefits?,HEALTHY WEIGHT BENEFITS AWARE YOU?,/HEALTHY WEIGHT BENEFITS AWARE YOU/*.npy
102,Are you aware of the importance of completing the full course of medication?,MEDICATION FULL COURSE COMPLETE IMPORTANT AWARE YOU?,/MEDICATION FULL COURSE COMPLETE IMPORTANT AWARE YOU/*.npy
103,Are you aware of the medical history of your family?,FAMILY MEDICAL HISTORY AWARE YOU?,/FAMILY MEDICAL HISTORY AWARE YOU/*.npy
104,Are you aware of the meditation benefits?,MEDITATION BENEFITS AWARE YOU?,/MEDITATION BENEFITS AWARE YOU/*.npy
105,are you aware of the new treatment side effects?,TREATMENT NEW SIDE EFFECT AWARE?,/TREATMENT NEW SIDE EFFECT AWARE?/*.npy
106,are you aware of the potential side effects of this new treatment?,TREATMENT NEW SIDE EFFECT AWARE?,/TREATMENT NEW SIDE EFFECT AWARE?/*.npy
107,Are you aware of the signs of allergic reactions to medications?,MEDICATION ALLERGIC REACTIONS SIGNS KNOW YOU?,/MEDICATION ALLERGIC REACTIONS SIGNS KNOW YOU/*.npy
108,Are you aware of the stretching benefits?,STRETCHING BENEFITS AWARE YOU?,/STRETCHING BENEFITS AWARE YOU/*.npy
109,Are you aware of the warning signs that require immediate attention?,WARNING SIGNS IMMEDIATE ATTENTION KNOW YOU?,/WARNING SIGNS IMMEDIATE ATTENTION KNOW YOU/*.npy
110,Are you aware of your family’s medical history?,FAMILY MEDICAL HISTORY AWARE YOU?,/FAMILY MEDICAL HISTORY AWARE YOU/*.npy
111,Are you bothered by any side effects?,SIDE EFFECTS BOTHER YOU?,/SIDE EFFECTS BOTHER YOU/*.npy
112,Are you changing the bandage frequently?,BANDAGE CHANGE FREQUENTLY YOU?,/BANDAGE CHANGE FREQUENTLY YOU/*.npy
113,Are you comfortable asking questions about your treatment?,TREATMENT QUESTIONS ASK COMFORTABLE YOU?,/TREATMENT QUESTIONS ASK COMFORTABLE YOU/*.npy
114,Are you comfortable communicating with their medical team?,MEDICAL TEAM THEIR COMMUNICATE COMFORTABLE YOU?,/MEDICAL TEAM THEIR COMMUNICATE COMFORTABLE YOU/*.npy
115,Are you comfortable discussing any lifestyle changes?,LIFESTYLE CHANGES DISCUSS COMFORTABLE YOU?,/LIFESTYLE CHANGES DISCUSS COMFORTABLE YOU/*.npy
116,are you comfortable proceeding with this examination?,EXAMINATION CONTINUE COMFORTABLE YOU?,/EXAMINATION CONTINUE COMFORTABLE YOU?/*.npy
117,Are you comfortable to ask questions about the treatment?,TREATMENT QUESTIONS ASK COMFORTABLE YOU?,/TREATMENT QUESTIONS ASK COMFORTABLE YOU/*.npy
118,Are you comfortable to communicate with their medical team?,MEDICAL TEAM THEIR COMMUNICATE COMFORTABLE YOU?,/MEDICAL TEAM THEIR COMMUNICATE COMFORTABLE YOU/*.npy
119,Are you comfortable to discuss lifestyle changes?,LIFESTYLE CHANGES DISCUSS COMFORTABLE YOU?,/LIFESTYLE CHANGES DISCUSS COMFORTABLE YOU/*.npy
120,Are you comfortable with continuing this examination?,EXAMINATION CONTINUE COMFORTABLE YOU?,/EXAMINATION CONTINUE COMFORTABLE YOU?/*.npy
121,Are you comfortable with the discussed plan?,PLAN DISCUSS COMFORTABLE YOU?,/PLAN DISCUSS COMFORTABLE YOU/*.npy
122,Are you comfortable with the plan we’ve discussed?,PLAN DISCUSS COMFORTABLE YOU?,/PLAN DISCUSS COMFORTABLE YOU/*.npy
123,are you comfortable with the proposed treatment plan?,TREATMENT PLAN PROPOSE COMFORTABLE YOU?,/TREATMENT PLAN PROPOSE COMFORTABLE YOU?/*.npy
124,Are you comfortable with the surgical approach?,SURGICAL APPROACH COMFORTABLE YOU?,/SURGICAL APPROACH COMFORTABLE YOU/*.npy
125,Are you comfortable with your current care routine?,CARE ROUTINE CURRENT COMFORTABLE YOU?,/CARE ROUTINE CURRENT COMFORTABLE YOU/*.npy
126,Are you comfortable with your healthcare team?,HEALTHCARE TEAM COMFORTABLE YOU?,/HEALTHCARE TEAM COMFORTABLE YOU/*.npy
127,Are you concerned about the long-term effects of the condition?,CONDITION LONG-TERM EFFECT CONCERN HAVE?,/CONDITION LONG-TERM EFFECT CONCERN HAVE?/*.npy
128,Are you confident to help them with their medical needs?,MEDICAL NEEDS ASSIST THEM CONFIDENT YOU?,/MEDICAL NEEDS ASSIST THEM CONFIDENT YOU/*.npy
129,Are you confident to manage your condition at home?,CONDITION HOME MANAGE CONFIDENT YOU?,/CONDITION HOME MANAGE CONFIDENT YOU/*.npy
130,Are you considering help from a professional?,PROFESSIONAL HELP CONSIDER YOU?,/PROFESSIONAL HELP CONSIDER YOU/*.npy
131,Are you considering participating in a clinical trial?,CLINICAL TRIAL PARTICIPATE CONSIDER YOU?,/CLINICAL TRIAL PARTICIPATE CONSIDER YOU/*.npy
132,Are you consistent with your exercise routines?,EXERCISE ROUTINES CONSISTENT FOLLOW YOU?,/EXERCISE ROUTINES CONSISTENT FOLLOW YOU/*.npy
133,are you currently covered by health insurance for these treatments?,INSURANCE COVER TREATMENT THESE?,/INSURANCE COVER TREATMENT THESE?/*.npy
134,are you currently experiencing any chest pain?,CHEST PAIN EXPERIENCE YOU NOW?,/CHEST PAIN EXPERIENCE YOU NOW?/*.npy
135,are you currently experiencing any stress or anxiety related to your health?,STRESS ANXIETY HEALTH RELATED EXPERIENCE YOU?,/STRESS ANXIETY HEALTH RELATED EXPERIENCE YOU?/*.npy
136,Are you currently taking any herbs?,HERBS TAKE NOW YOU?,/HERBS TAKE NOW YOU/*.npy
137,are you currently taking any other medications?,MEDICATION OTHER YOU TAKE NOW?,/MEDICATION OTHER YOU TAKE NOW?/*.npy
138,Are you doing anything to avoid stress at work or home?,STRESS WORK HOME AVOID DO ANYTHING YOU?,/STRESS WORK HOME AVOID DO ANYTHING YOU/*.npy
139,Are you doing anything to prevent constipation?,CONSTIPATION PREVENT DO ANYTHING YOU?,/CONSTIPATION PREVENT DO ANYTHING YOU/*.npy
140,Are you eating enough protein?,PROTEIN EAT ENOUGH YOU?,/PROTEIN EAT ENOUGH YOU/*.npy
141,Are you eating well to support healing?,"HEALING SUPPORT, EATING WELL YOU?","/HEALING SUPPORT, EATING WELL YOU/*.npy"
142,Are you exercising regularly?,EXERCISE REGULAR YOU?,/EXERCISE REGULAR YOU/*.npy
143,Are you experiencing anxiety about upcoming tests?,TESTS UPCOMING ANXIETY EXPERIENCE YOU?,/TESTS UPCOMING ANXIETY EXPERIENCE YOU/*.npy
144,are you experiencing any difficulties with daily activities due to your condition?,CONDITION AFFECT DAILY ACTIVITY HOW?,/CONDITION AFFECT DAILY ACTIVITY HOW?/*.npy
145,are you experiencing any difficulties with your current treatment plan?,TREATMENT PLAN CURRENT DIFFICULTY HAVE YOU?,/TREATMENT PLAN CURRENT DIFFICULTY HAVE YOU?/*.npy
146,Are you experiencing any digestive problems?,DIGESTIVE ISSUES EXPERIENCE YOU?,/DIGESTIVE ISSUES EXPERIENCE YOU?/*.npy
147,are you experiencing any discomfort or pain at the moment?,NOW PAIN DISCOMFORT YOU FEEL?,/NOW PAIN DISCOMFORT YOU FEEL?/*.npy
148,Are you experiencing any discomfort?,DISCOMFORT EXPERIENCE YOU?,/DISCOMFORT EXPERIENCE YOU/*.npy
149,Are you experiencing any dizziness?,DIZZINESS EXPERIENCE YOU?,/DIZZINESS EXPERIENCE YOU/*.npy
150,are you experiencing any issues with your current health insurance coverage?,INSURANCE ISSUE HEALTH EXPERIENCE YOU?,/INSURANCE ISSUE HEALTH EXPERIENCE YOU?/*.npy
151,are you experiencing any memory problems?,MEMORY PROBLEMS EXPERIENCE YOU?,/MEMORY PROBLEMS EXPERIENCE YOU?/*.npy
152,Are you experiencing any nausea?,NAUSEA EXPERIENCE YOU?,/NAUSEA EXPERIENCE YOU/*.npy
153,Are you experiencing any new symptoms related to your condition?,CONDITION SYMPTOMS NEW EXPERIENCE YOU?,/CONDITION SYMPTOMS NEW EXPERIENCE YOU/*.npy
154,are you experiencing any numbness or tingling?,NUMBNESS TINGLING EXPERIENCE YOU?,/NUMBNESS TINGLING EXPERIENCE YOU?/*.npy
155,Are you experiencing any pain or discomfort?,PAIN DISCOMFORT EXPERIENCE YOU?,/PAIN DISCOMFORT EXPERIENCE YOU/*.npy
156,are you experiencing any shortness of breath?,BREATH SHORT YOU EXPERIENCE?,/BREATH SHORT YOU EXPERIENCE?/*.npy
157,Are you experiencing any side effects from the medication?,MEDICATION SIDE EFFECTS EXPERIENCE YOU?,/MEDICATION SIDE EFFECTS EXPERIENCE YOU/*.npy
158,are you experiencing any side effects from your current medication?,MEDICATION CURRENT SIDE EFFECT EXPERIENCE YOU?,/MEDICATION CURRENT SIDE EFFECT EXPERIENCE YOU?/*.npy
159,are you experiencing any sleep disturbances?,SLEEP DISTURBANCES EXPERIENCE YOU?,/SLEEP DISTURBANCES EXPERIENCE YOU?/*.npy
160,Are you experiencing any stress because of your condition?,STRESS BECAUSE CONDITION EXPERIENCE YOU?,/STRESS BECAUSE CONDITION EXPERIENCE YOU/*.npy
161,Are you experiencing any unusual bruising?,BRUISING UNUSUAL EXPERIENCE YOU?,/BRUISING UNUSUAL EXPERIENCE YOU/*.npy
162,Are you experiencing chest pain right now?,CHEST PAIN EXPERIENCE YOU NOW?,/CHEST PAIN EXPERIENCE YOU NOW?/*.npy
163,Are you experiencing issues with the health insurance?,INSURANCE ISSUE HEALTH EXPERIENCE YOU?,/INSURANCE ISSUE HEALTH EXPERIENCE YOU?/*.npy
164,Are you experiencing joint pain or stiffness?,JOINT PAIN STIFFNESS YOU EXPERIENCE?,/JOINT PAIN STIFFNESS YOU EXPERIENCE?/*.npy
165,Are you experiencing memory issues?,MEMORY PROBLEMS EXPERIENCE YOU?,/MEMORY PROBLEMS EXPERIENCE YOU?/*.npy
166,Are you experiencing side effects from your current medication?,MEDICATION CURRENT SIDE EFFECT EXPERIENCE YOU?,/MEDICATION CURRENT SIDE EFFECT EXPERIENCE YOU?/*.npy
167,Are you experiencing the symptoms at a specific time of day?,SYMPTOMS TIME SPECIFIC DAY EXPERIENCE?,/SYMPTOMS TIME SPECIFIC DAY EXPERIENCE/*.npy
168,Are you familiar with the importance of hydration?,HYDRATION IMPORTANCE FAMILIAR YOU?,/HYDRATION IMPORTANCE FAMILIAR YOU/*.npy
169,Are you familiar with the purpose of these tests?,TESTS PURPOSE FAMILIAR YOU?,/TESTS PURPOSE FAMILIAR YOU/*.npy
170,Are you familiar with the symptoms of a stroke?,STROKE SYMPTOMS FAMILIAR YOU?,/STROKE SYMPTOMS FAMILIAR YOU/*.npy
171,Are you feeling any pain?,PAIN FEEL YOU?,/PAIN FEEL YOU/*.npy
172,are you feeling any relief from the treatment?,TREATMENT RELIEF FEEL YOU?,/TREATMENT RELIEF FEEL YOU?/*.npy
173,Are you feeling confident in managing your condition at home?,CONDITION HOME MANAGE CONFIDENT YOU?,/CONDITION HOME MANAGE CONFIDENT YOU/*.npy
174,Are you feeling confident in managing your condition?,CONDITION MANAGE CONFIDENT YOU?,/CONDITION MANAGE CONFIDENT YOU/*.npy
175,are you feeling depressed or anxious?,DEPRESSED ANXIOUS FEEL YOU?,/DEPRESSED ANXIOUS FEEL YOU?/*.npy
176,Are you feeling muscle stiffness after therapy sessions?,THERAPY SESSIONS AFTER MUSCLE STIFFNESS FEEL YOU?,/THERAPY SESSIONS AFTER MUSCLE STIFFNESS FEEL YOU/*.npy
177,are you feeling overwhelmed or stressed?,OVERWHELMED STRESSED FEEL YOU?,/OVERWHELMED STRESSED FEEL YOU?/*.npy
178,Are you feeling relief from resting?,REST RELIEF FEEL YOU?,/REST RELIEF FEEL YOU/*.npy
179,Are you feeling shortness of breath when you are laying down?,BREATH SHORT FEEL WHEN LYING-DOWN YOU?,/BREATH SHORT FEEL WHEN LYING-DOWN YOU/*.npy
180,Are you feeling supported in your care journey?,CARE JOURNEY SUPPORTED FEEL YOU?,/CARE JOURNEY SUPPORTED FEEL YOU/*.npy
181,Are you feeling that the prescribed medication is effective?,MEDICATION PRESCRIBED EFFECTIVE FEEL YOU?,/MEDICATION PRESCRIBED EFFECTIVE FEEL YOU/*.npy
182,are you feeling this medication is helping your condition?,"MEDICATION THIS, CONDITION HELP FEEL YOU?","/MEDICATION THIS, CONDITION HELP FEEL YOU/*.npy"
